tecnica,model,fold,accuracy,precision,recall,f1,best_params,configuracao
TF-IDF,LR,5,0.71175,0.674639175257732,0.818,0.7394350282485875,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,RF,1,0.6965,0.6731277533039648,0.764,0.7156908665105386,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,RF,2,0.69125,0.6714477812640072,0.749,0.7081068305365162,"{'class_weight': 'balanced', 'max_depth': None, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,RF,3,0.665,0.6176051318602993,0.8665,0.7211818560133166,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,RF,4,0.67075,0.6247716477895506,0.855,0.7219759341355289,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,RF,5,0.66425,0.6188065099457505,0.8555,0.7181532004197272,"{'class_weight': 'balanced', 'max_depth': 10, 'n_estimators': 100}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,SVM,1,0.69925,0.6491950580307001,0.867,0.7424534360950545,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,SVM,2,0.68925,0.6444105303319344,0.8445,0.7310106037654187,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,SVM,3,0.696,0.6504221028396009,0.8475,0.7359965262700825,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,SVM,4,0.70725,0.6648111332007952,0.836,0.7406423034330011,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
TF-IDF,SVM,5,0.69725,0.6473664549869257,0.8665,0.7410733376095788,"{'C': 0.1, 'class_weight': 'balanced', 'kernel': 'linear'}","{'ngram_range': (1, 2), 'min_df': 2, 'sublinear_tf': True, 'max_features': 10000}"
